"tif_name","hisp_latin_pop_est","white_pop_est","black_pop_est","asian_pop_est","median_income","cpte"
"Devon/Sheridan",288,1677,325,165,41620.8791208791,14251439
"Touhy/Western",1321,3188,785,1627,67875.3180661578,7649764
"Lawrence/Kedzie",7856,6198,1046,3132,78036.6492146597,135012284
"Lincoln Avenue",895,1622,216,749,62571.4285714286,56026436
"Hollywood/Sheridan",734,2269,1183,735,61764.7058823529,9263679
"Edgewater/Ashland",71,165,15,23,1e+05,9937065
"Bryn Mawr/Broadway",253,867,443,157,75584.7953216374,39481008
"Western Avenue North",1134,5350,189,452,91302.0833333333,118557127
"Clark/Montrose",286,1455,194,166,82160.8040201005,53177691
"Lawrence/Broadway",683,1119,1189,387,44569.6721311475,69743378
"Wilson Yard",1188,3289,2892,719,55018.0831826401,140883909
"Montrose/Clarendon",88,207,181,23,71527.7777777778,5781117
"Western Avenue South",2432,5555,177,617,128715.596330275,137032281
"Diversey/Chicago River",424,1785,107,194,45400.3407155025,1227104
"Near North",597,5567,2642,1228,103697.478991597,432161288
"Chicago/Kingsbury",219,1366,71,134,141414.141414141,376483496
"Elston/Armstrong Industrial Corridor",409,953,34,331,98758.865248227,7910526
"Peterson/Pulaski",119,178,3,42,61440.6779661017,19674272
"Foster/Edens",550,775,25,356,84451.2195121951,4468946
"Lawrence/Pulaski",1005,1068,140,447,72612.3595505618,27231744
"West Irving Park",1264,3378,138,238,73360.6557377049,20756640
"Belmont/Central",7224,2324,269,253,63760.5042016807,67499786
"Belmont/Cicero",2206,504,94,75,77906.976744186,22624688
"Avondale",513,311,6,35,52816.9014084507,1528765
"Diversey/Narragansett",1895,552,134,35,80500,38278538
"Northwest Industrial Corridor",11868,1060,8163,250,55914.2114384749,139823881
"Galewood/Armitage Industrial",6113,737,3158,176,70511.2219451371,58038566
"Armitage/Pulaski",882,142,27,18,51136.3636363636,2790876
"Kennedy/Kimball",1562,1371,50,133,93470.1492537313,6312543
"Fullerton/Milwaukee",3395,4037,508,426,87680.412371134,149058138
"Addison South",772,1217,69,114,98941.3680781759,54497573
"Humboldt Park Commercial",1616,2314,372,189,93789.3081761006,60758234
"Chicago/Central Park",4481,1155,11332,203,55668.449197861,103477584
"Division/Homan",2058,1011,644,188,72916.6666666667,25635888
"River West",270,2220,198,464,63986.013986014,298670630
"Austin Commercial",4002,2744,6799,102,67975.9704251386,16352147
"Madison/Austin Corridor",661,304,8922,24,32558.1395348837,40442984
"Harrison/Central",1347,94,6971,27,68046.357615894,6682465
"Midwest",3299,2137,38726,236,42937.9157427938,261901228
"LaSalle Central",585,2176,390,1286,68945.7202505219,799470721
"Central West",833,4271,3586,1385,97778.9256198347,346526700
"Canal/Congress",299,1172,127,757,115000,461944772
"Western/Ogden",3636,1478,3245,296,58623.417721519,153546384
"Roosevelt/Racine",186,854,2065,316,70606.0606060606,29938164
"Ogden/Pulaski",5197,694,8801,40,46823.8993710692,8645880
"Little Village East",7110,433,1331,22,62123.2876712329,1267812
"Little Village Industrial Corridor",5280,1062,6080,81,72452.2292993631,5466809
"Roosevelt/Clark",273,2107,690,623,62740.3846153846,5096329
"24th/Michigan",36,282,208,509,75000,37626161
"35th/State",118,345,878,250,58024.6913580247,26732433
"Bronzeville",658,1010,6021,943,52770.5345501956,79413985
"Madden/Wells",72,37,2153,27,22647.0588235294,17897363
"47th/State",214,177,4956,90,52968.0365296804,27250339
"53rd Street",176,1168,712,417,54708.5201793722,49108566
"Washington Park",274,181,12165,27,42307.6923076923,7552358
"Woodlawn",296,1173,5661,387,52500,59191064
"West Woodlawn",158,149,7386,53,31760.4355716878,109876
"87th/Cottage Grove",88,66,6347,9,40294.7154471545,35116385
"Avalon Park/South Shore",10,60,1282,6,50943.3962264151,10500581
"South Chicago",1792,120,1923,29,34494.7735191638,21963829
"Commercial Avenue",1060,133,2007,10,69863.0136986301,25932567
"North Pullman",107,39,2365,1,46875,16151236
"107th/Halsted",347,294,17662,10,66700.1003009027,3548263
"Lake Calumet Area Industrial",6167,1451,4982,3,39206.6420664207,63997645
"Ewing Avenue",4828,762,150,16,52788.4615384615,2723295
"116th/Avenue O",699,215,75,4,80555.5555555556,1326306
"Midway Industrial Corridor",3361,682,194,219,76942.5675675676,48757716
"Cicero/Stevenson",225,14,237,16,69117.6470588235,0
"Cicero/Archer",807,177,126,19,54861.1111111111,14658701
"Archer/Central",1887,933,28,22,77099.2366412214,11878372
"51st/Archer",4347,423,98,141,63100,16323590
"63rd/Pulaski",3112,700,25,53,68750,38486655
"Archer/Western",4036,990,182,1925,66703.5398230088,7996544
"35th/Halsted",8126,6415,676,7767,70097.0548862115,121207518
"47th/Ashland",4501,467,612,86,45977.0114942529,46567234
"47th/Halsted",2438,1263,2523,203,57477.1689497717,53014553
"63rd/Ashland",1402,38,4474,5,34101.3824884793,11220309
"Englewood Neighborhood",767,151,11479,92,35077.1456123433,72728262
"Greater Southwest Industrial (West)",2236,148,265,38,70680.1470588235,14631046
"Greater Southwest Industrial (East)",928,58,1436,10,65397.3509933775,17395323
"79th Street Corridor",281,41,5589,21,39609.5717884131,16816070
"79th/Vincennes",131,100,4724,18,60175.4385964912,4162287
"Pratt/Ridge Industrial Park Conservation Area",356,520,229,135,58984.375,5317899
"Lakefront",17,7,222,2,25000,5338939
"73rd/University",105,13,619,0,46428.5714285714,6323551
"Jefferson/Roosevelt",173,688,214,309,83653.8461538462,113358810
"Goose Island",41,622,69,81,46264.3678160919,94751359
"83rd/Stewart",15,8,623,16,83888.8888888889,13244402
"Stockyards Southeast Quadrant Industrial",729,1077,695,237,39380.5309734513,49283184
