,tif_name,tif_year,property_tax_extraction,transfers_in,transfers_out,cumulative_transfers_in,cumulative_transfers_out,cumulative_property_tax_extraction
967,Ohio/Wabash,2014,1504477,0,0,0,0,1504477
968,Ohio/Wabash,2015,1527696,0,0,0,0,3032173
969,Ohio/Wabash,2016,1677997,0,0,0,0,4710170
970,Ohio/Wabash,2017,1812871,0,0,0,0,6523041
971,Ohio/Wabash,2018,1988062,0,0,0,0,8511103
972,Ohio/Wabash,2019,1950018,0,0,0,0,10461121
973,Ohio/Wabash,2020,2047110,0,0,0,0,12508231
974,Ohio/Wabash,2021,2160475,0,0,0,0,14668706
975,Ohio/Wabash,2022,1971473,0,0,0,0,16640179
976,Pershing/King,2014,1843,0,0,0,0,1843
977,Pershing/King,2015,-98,0,0,0,0,1745
978,Pershing/King,2016,0,0,0,0,0,1745
979,Pershing/King,2017,0,0,0,0,0,1745
980,Pershing/King,2018,0,0,0,0,0,1745
981,Pershing/King,2019,106238,0,0,0,0,107983
982,Peterson/Cicero,2014,454109,0,0,0,0,454109
983,Peterson/Cicero,2015,479541,0,0,0,0,933650
984,Peterson/Cicero,2016,409172,0,0,0,0,1342822
985,Peterson/Cicero,2017,471894,0,0,0,0,1814716
986,Peterson/Cicero,2018,511465,0,0,0,0,2326181
987,Peterson/Cicero,2019,551919,0,0,0,0,2878100
988,Peterson/Cicero,2020,567817,0,0,0,0,3445917
989,Peterson/Cicero,2021,649073,0,0,0,0,4094990
990,Peterson/Cicero,2022,632273,0,0,0,0,4727263
991,Peterson/Pulaski,2014,445937,0,0,0,0,445937
992,Peterson/Pulaski,2015,417658,0,0,0,0,863595
993,Peterson/Pulaski,2016,991672,0,0,0,0,1855267
994,Peterson/Pulaski,2017,1107221,0,0,0,0,2962488
995,Peterson/Pulaski,2018,1733263,0,0,0,0,4695751
996,Peterson/Pulaski,2019,904647,0,0,0,0,5600398
997,Peterson/Pulaski,2020,933198,0,0,0,0,6533596
998,Peterson/Pulaski,2021,2093295,0,0,0,0,8626891
999,Peterson/Pulaski,2022,1714711,0,0,0,0,10341602
1000,Pilsen,2014,9309162,0,0,0,0,9309162
1001,Pilsen,2015,10513921,0,0,0,0,19823083
1002,Pilsen,2016,12597360,0,0,0,0,32420443
1003,Pilsen,2017,12643045,0,0,0,0,45063488
1004,Pilsen,2018,17666066,0,0,0,0,62729554
1005,Pilsen,2019,18085740,0,0,0,0,80815294
1006,Pilsen,2020,22470976,0,0,0,0,103286270
1007,Pilsen,2021,25623906,0,0,0,0,128910176
1008,Pilsen,2022,29119436,0,0,0,0,158029612
1009,Portage Park,2014,1630968,0,0,0,0,1630968
1010,Portage Park,2015,1924500,0,0,0,0,3555468
1011,Portage Park,2016,1847698,0,0,0,0,5403166
1012,Portage Park,2017,1934568,0,1900000,0,1900000,7337734
1013,Portage Park,2018,3072230,0,0,0,1900000,10409964
1014,Portage Park,2019,3204073,0,0,0,1900000,13614037
1015,Portage Park,2020,3492861,1000000,2500000,1000000,4400000,17106898
1016,Portage Park,2021,4181740,0,0,1000000,4400000,21288638
1017,Portage Park,2022,4265783,0,0,1000000,4400000,25554421
1018,Pratt/Ridge Industrial Park Conservation Area,2014,0,0,0,0,0,0
1019,Pratt/Ridge Industrial Park Conservation Area,2015,111612,0,0,0,0,111612
1020,Pratt/Ridge Industrial Park Conservation Area,2016,262742,0,0,0,0,374354
1021,Pratt/Ridge Industrial Park Conservation Area,2017,346404,0,0,0,0,720758
1022,Pratt/Ridge Industrial Park Conservation Area,2018,688699,0,0,0,0,1409457
1023,Pratt/Ridge Industrial Park Conservation Area,2019,442412,0,0,0,0,1851869
1024,Pratt/Ridge Industrial Park Conservation Area,2020,204824,0,0,0,0,2056693
1025,Pratt/Ridge Industrial Park Conservation Area,2021,854976,0,0,0,0,2911669
1026,Pratt/Ridge Industrial Park Conservation Area,2022,803787,0,0,0,0,3715456
1027,Pulaski Corridor,2014,1869691,0,670284,0,670284,1869691
1028,Pulaski Corridor,2015,2029110,0,761500,0,1431784,3898801
1029,Pulaski Corridor,2016,3153078,3000000,913874,3000000,2345658,7051879
1030,Pulaski Corridor,2017,3352064,0,728076,3000000,3073734,10403943
1031,Pulaski Corridor,2018,4484724,0,3100000,3000000,6173734,14888667
1032,Pulaski Corridor,2019,4296140,0,0,3000000,6173734,19184807
1033,Pulaski Corridor,2020,5755391,0,0,3000000,6173734,24940198
1034,Pulaski Corridor,2021,6972796,0,0,3000000,6173734,31912994
1035,Pulaski Corridor,2022,7862348,0,0,3000000,6173734,39775342
1036,Randolph/Wells,2014,267939,632000,0,632000,0,267939
1037,Randolph/Wells,2015,64733,0,0,632000,0,332672
1038,Randolph/Wells,2016,449577,0,0,632000,0,782249
1039,Randolph/Wells,2017,484830,0,0,632000,0,1267079
1040,Randolph/Wells,2018,394105,0,0,632000,0,1661184
1041,Randolph/Wells,2019,7074511,0,632000,632000,632000,8735695
1042,Randolph/Wells,2020,16166063,0,0,632000,632000,24901758
1043,Randolph/Wells,2021,14349414,0,0,632000,632000,39251172
1044,Randolph/Wells,2022,7970040,0,0,632000,632000,47221212
1045,Ravenswood Corridor,2014,659184,0,0,0,0,659184
1046,Ravenswood Corridor,2015,917733,0,0,0,0,1576917
1047,Ravenswood Corridor,2016,1349354,0,0,0,0,2926271
1048,Ravenswood Corridor,2017,1457769,0,0,0,0,4384040
1049,Ravenswood Corridor,2018,1815608,0,500000,0,500000,6199648
1050,Read/Dunning,2014,2573315,0,0,0,0,2573315
1051,Read/Dunning,2015,2298956,0,0,0,0,4872271
1052,Read/Dunning,2016,2903308,0,0,0,0,7775579
1053,Read/Dunning,2017,2561525,0,0,0,0,10337104
1054,Read/Dunning,2018,2486981,1700000,500000,1700000,500000,12824085
1055,Red Line Extension (RLE),2022,0,0,0,0,0,0
1056,Red and Purple Modernization Phase One Project,2016,0,0,0,0,0,0
1057,Red and Purple Modernization Phase One Project,2017,8333898,0,0,0,0,8333898
1058,Red and Purple Modernization Phase One Project,2018,16694184,0,0,0,0,25028082
1059,Red and Purple Modernization Phase One Project,2019,45522999,0,0,0,0,70551081
1060,Red and Purple Modernization Phase One Project,2020,48371096,0,110169265,0,110169265,118922177
1061,Red and Purple Modernization Phase One Project,2021,55647235,0,55000027,0,165169292,174569412
1062,Red and Purple Modernization Phase One Project,2022,64522588,0,31005606,0,196174898,239092000
1063,River South,2014,14398092,4115000,6602753,4115000,6602753,14398092
1064,River South,2015,17108874,0,16528924,4115000,23131677,31506966
1065,River South,2016,24245090,0,11310000,4115000,34441677,55752056
1066,River South,2017,25855083,0,4310000,4115000,38751677,81607139
1067,River South,2018,31707329,41000000,0,45115000,38751677,113314468
1068,River South,2019,31338696,10000000,17000000,55115000,55751677,144653164
1069,River South,2020,18407336,0,2450000,55115000,58201677,163060500
1070,River South,2021,22002244,0,51075247,55115000,109276924,185062744
1071,River West,2014,13250612,0,8600000,0,8600000,13250612
1072,River West,2015,15055272,0,0,0,8600000,28305884
1073,River West,2016,18823186,0,0,0,8600000,47129070
1074,River West,2017,16640646,0,0,0,8600000,63769716
1075,River West,2018,22699022,0,0,0,8600000,86468738
1076,River West,2019,25956969,0,0,0,8600000,112425707
1077,River West,2020,26809139,0,0,0,8600000,139234846
1078,River West,2021,28981551,0,0,0,8600000,168216397
1079,River West,2022,34835062,0,0,0,8600000,203051459
1080,Roosevelt/Canal,2014,951530,0,0,0,0,951530
1081,Roosevelt/Canal,2015,1115368,0,0,0,0,2066898
1082,Roosevelt/Cicero,2014,1939130,0,909880,0,909880,1939130
1083,Roosevelt/Cicero,2015,2415316,0,640000,0,1549880,4354446
1084,Roosevelt/Cicero,2016,2798169,0,995762,0,2545642,7152615
1085,Roosevelt/Cicero,2017,2455219,0,1288000,0,3833642,9607834
1086,Roosevelt/Cicero,2018,3575404,0,0,0,3833642,13183238
1087,Roosevelt/Cicero,2019,4110900,0,2514000,0,6347642,17294138
1088,Roosevelt/Cicero,2020,4169475,0,144304,0,6491946,21463613
1089,Roosevelt/Cicero,2021,5171116,0,0,0,6491946,26634729
1090,Roosevelt/Cicero,2022,7088505,0,0,0,6491946,33723234
1091,Roosevelt/Clark,2019,0,0,0,0,0,0
1092,Roosevelt/Clark,2020,1522041,2450000,0,2450000,0,1522041
1093,Roosevelt/Clark,2021,2257760,0,0,2450000,0,3779801
1094,Roosevelt/Clark,2022,1316528,0,0,2450000,0,5096329
1095,Roosevelt/Homan,2014,953708,0,1062798,0,1062798,953708
1096,Roosevelt/Racine,2014,1664745,0,0,0,0,1664745
1097,Roosevelt/Racine,2015,1398258,0,0,0,0,3063003
1098,Roosevelt/Racine,2016,1714988,0,0,0,0,4777991
1099,Roosevelt/Racine,2017,1704001,0,0,0,0,6481992
1100,Roosevelt/Racine,2018,2056810,1000000,0,1000000,0,8538802
1101,Roosevelt/Racine,2019,1836077,10350000,0,11350000,0,10374879
1102,Roosevelt/Racine,2020,2159364,0,0,11350000,0,12534243
1103,Roosevelt/Racine,2021,2737529,0,0,11350000,0,15271772
1104,Roosevelt/Racine,2022,3406221,0,0,11350000,0,18677993
1105,Roosevelt/Union,2014,4170092,0,0,0,0,4170092
1106,Roosevelt/Union,2015,3770087,0,0,0,0,7940179
1107,Roosevelt/Union,2016,5100764,0,0,0,0,13040943
1108,Roosevelt/Union,2017,5596706,0,0,0,0,18637649
1109,Roosevelt/Union,2018,5580155,0,0,0,0,24217804
1110,Roosevelt/Union,2019,5608811,0,0,0,0,29826615
1111,Roosevelt/Union,2020,6281284,0,0,0,0,36107899
1112,Roosevelt/Union,2021,6975000,0,0,0,0,43082899
1113,Roosevelt/Union,2022,5768991,0,0,0,0,48851890
1114,Roseland/Michigan Avenue,2014,161872,0,1400000,0,1400000,161872
1115,Roseland/Michigan Avenue,2015,371956,0,0,0,1400000,533828
1116,Roseland/Michigan Avenue,2016,387228,0,500000,0,1900000,921056
1117,Roseland/Michigan Avenue,2017,341769,0,233186,0,2133186,1262825
1118,Roseland/Michigan Avenue,2018,608518,0,946978,0,3080164,1871343
1119,Roseland/Michigan Avenue,2019,398817,0,0,0,3080164,2270160
1120,Roseland/Michigan Avenue,2020,477531,0,296120,0,3376284,2747691
1121,Roseland/Michigan Avenue,2021,632237,0,240135,0,3616419,3379928
1122,Roseland/Michigan Avenue,2022,196508,719405,349660,719405,3966079,3576436
1123,Sanitary Drainage and Ship Canal,2014,516230,0,0,0,0,516230
1124,Sanitary Drainage and Ship Canal,2015,598516,0,0,0,0,1114746
1125,Sanitary Drainage and Ship Canal,2016,484166,0,1000000,0,1000000,1598912
1126,Sanitary Drainage and Ship Canal,2017,574606,0,0,0,1000000,2173518
1127,Sanitary Drainage and Ship Canal,2018,887464,0,0,0,1000000,3060982
1128,Sanitary Drainage and Ship Canal,2019,686696,0,1280000,0,2280000,3747678
1129,Sanitary Drainage and Ship Canal,2020,1057998,0,0,0,2280000,4805676
1130,Sanitary Drainage and Ship Canal,2021,1246684,0,0,0,2280000,6052360
1131,Sanitary Drainage and Ship Canal,2022,1768936,0,0,0,2280000,7821296
1132,South Chicago,2014,1128096,0,0,0,0,1128096
1133,South Chicago,2015,1029776,0,0,0,0,2157872
1134,South Chicago,2016,1170969,0,2500000,0,2500000,3328841
1135,South Chicago,2017,1173058,0,0,0,2500000,4501899
1136,South Chicago,2018,1535490,0,0,0,2500000,6037389
1137,South Chicago,2019,1157562,0,0,0,2500000,7194951
1138,South Chicago,2020,1268261,0,0,0,2500000,8463212
1139,South Chicago,2021,1437995,0,0,0,2500000,9901207
1140,South Chicago,2022,777054,0,0,0,2500000,10678261
1141,South Works Industrial,2014,70279,0,0,0,0,70279
1142,South Works Industrial,2015,42335,0,0,0,0,112614
1143,South Works Industrial,2016,37637,0,0,0,0,150251
1144,South Works Industrial,2017,51664,0,0,0,0,201915
1145,South Works Industrial,2018,0,0,0,0,0,201915
1146,South Works Industrial,2019,0,0,0,0,0,201915
1147,Stevenson/Brighton,2014,5781,0,0,0,0,5781
1148,Stevenson/Brighton,2015,49580,0,0,0,0,55361
1149,Stevenson/Brighton,2016,2639732,2000000,0,2000000,0,2695093
1150,Stevenson/Brighton,2017,1872409,0,0,2000000,0,4567502
1151,Stevenson/Brighton,2018,3858324,300000,0,2300000,0,8425826
1152,Stevenson/Brighton,2019,4594951,4500000,0,6800000,0,13020777
1153,Stevenson/Brighton,2020,4848545,2500000,0,9300000,0,17869322
1154,Stevenson/Brighton,2021,4884167,0,0,9300000,0,22753489
1155,Stevenson/Brighton,2022,7848164,0,0,9300000,0,30601653
1156,Stockyards Annex,2014,742720,0,0,0,0,742720
1157,Stockyards Annex,2015,927164,0,1000000,0,1000000,1669884
1158,Stockyards Annex,2016,1445388,0,0,0,1000000,3115272
1159,Stockyards Annex,2017,1229762,0,0,0,1000000,4345034
1160,Stockyards Annex,2018,1932172,0,0,0,1000000,6277206
1161,Stockyards Annex,2019,1946471,0,0,0,1000000,8223677
1162,Stockyards Annex,2020,2492925,0,0,0,1000000,10716602
1163,Stockyards Southeast Quadrant Industrial,2014,1183366,0,0,0,0,1183366
1164,Stockyards Southeast Quadrant Industrial,2015,1437898,0,0,0,0,2621264
1165,Stockyards Southeast Quadrant Industrial,2016,1653824,0,0,0,0,4275088
1166,Stockyards Southeast Quadrant Industrial,2017,1423433,0,0,0,0,5698521
1167,Stockyards Southeast Quadrant Industrial,2018,1889945,0,0,0,0,7588466
1168,Stockyards Southeast Quadrant Industrial,2019,1606519,0,0,0,0,9194985
1169,Stockyards Southeast Quadrant Industrial,2020,2219030,0,0,0,0,11414015
1170,Stockyards Southeast Quadrant Industrial,2021,2321841,0,0,0,0,13735856
1171,Stockyards Southeast Quadrant Industrial,2022,2753819,0,0,0,0,16489675
1172,Stony Island Commercial/Burnside Industrial,2014,2731992,0,1765123,0,1765123,2731992
1173,Stony Island Commercial/Burnside Industrial,2015,2634251,0,1912840,0,3677963,5366243
1174,Stony Island Commercial/Burnside Industrial,2016,3035985,0,1823173,0,5501136,8402228
1175,Stony Island Commercial/Burnside Industrial,2017,3116385,0,1823236,0,7324372,11518613
1176,Stony Island Commercial/Burnside Industrial,2018,4086967,0,1822797,0,9147169,15605580
1177,Stony Island Commercial/Burnside Industrial,2019,3952899,0,3000000,0,12147169,19558479
1178,Stony Island Commercial/Burnside Industrial,2020,3625074,0,1500000,0,13647169,23183553
1179,Stony Island Commercial/Burnside Industrial,2021,5567551,0,2000000,0,15647169,28751104
1180,Stony Island Commercial/Burnside Industrial,2022,3881531,0,2000000,0,17647169,32632635
1181,Touhy/Western,2014,123787,1699498,0,1699498,0,123787
1182,Touhy/Western,2015,58988,1724652,0,3424150,0,182775
1183,Touhy/Western,2016,198146,1907049,0,5331199,0,380921
1184,Touhy/Western,2017,321536,1940921,0,7272120,0,702457
1185,Touhy/Western,2018,361450,1968193,0,9240313,0,1063907
1186,Touhy/Western,2019,598916,2106384,0,11346697,0,1662823
1187,Touhy/Western,2020,506198,3713311,0,15060008,0,2169021
1188,Touhy/Western,2021,1060676,3076677,0,18136685,0,3229697
1189,Touhy/Western,2022,960059,376636,0,18513321,0,4189756
1190,Washington Park,2014,0,0,0,0,0,0
1191,Washington Park,2015,31130,0,0,0,0,31130
1192,Washington Park,2016,93678,0,0,0,0,124808
1193,Washington Park,2017,401366,300000,0,300000,0,526174
1194,Washington Park,2018,928492,1587500,0,1887500,0,1454666
1195,Washington Park,2019,1211809,4762500,0,6650000,0,2666475
1196,Washington Park,2020,1338785,0,0,6650000,0,4005260
1197,Washington Park,2021,1783568,0,0,6650000,0,5788828
1198,Washington Park,2022,1763530,0,0,6650000,0,7552358
1199,Weed/Fremont,2014,179827,0,0,0,0,179827
1200,Weed/Fremont,2015,680002,0,0,0,0,859829
1201,Weed/Fremont,2016,818991,0,0,0,0,1678820
1202,Weed/Fremont,2017,818305,0,0,0,0,2497125
1203,Weed/Fremont,2018,431528,0,0,0,0,2928653
1204,West Irving Park,2014,586133,0,0,0,0,586133
1205,West Irving Park,2015,693725,0,0,0,0,1279858
1206,West Irving Park,2016,817604,0,0,0,0,2097462
1207,West Irving Park,2017,808878,0,0,0,0,2906340
1208,West Irving Park,2018,1352551,500000,1700000,500000,1700000,4258891
1209,West Irving Park,2019,1288033,0,0,500000,1700000,5546924
1210,West Irving Park,2020,1397400,0,0,500000,1700000,6944324
1211,West Irving Park,2021,1516622,0,0,500000,1700000,8460946
1212,West Irving Park,2022,1954629,0,0,500000,1700000,10415575
1213,West Pullman,2014,0,0,97500,0,0,0
1214,West Woodlawn,2014,-1083,250000,0,250000,0,-1083
1215,West Woodlawn,2015,-965,0,0,250000,0,-2048
1216,West Woodlawn,2016,-4276,0,0,250000,0,-6324
1217,West Woodlawn,2017,111,0,0,250000,0,-6213
1218,West Woodlawn,2018,-911,0,0,250000,0,-7124
1219,West Woodlawn,2019,320,800000,0,1050000,0,-6804
1220,West Woodlawn,2020,-41,0,0,1050000,0,-6845
1221,West Woodlawn,2021,85,0,0,1050000,0,-6760
1222,West Woodlawn,2022,13061,0,0,1050000,0,6301
1223,Western Avenue North,2014,3961138,0,1449328,0,1449328,3961138
1224,Western Avenue North,2015,5799099,0,1668129,0,3117457,9760237
1225,Western Avenue North,2016,7241338,0,3896743,0,7014200,17001575
1226,Western Avenue North,2017,7111942,0,1758015,0,8772215,24113517
1227,Western Avenue North,2018,9399511,250000,10866666,250000,19638881,33513028
1228,Western Avenue North,2019,8559650,0,366668,250000,20005549,42072678
1229,Western Avenue North,2020,9886608,0,2900000,250000,22905549,51959286
1230,Western Avenue North,2021,11612496,0,0,250000,22905549,63571782
1231,Western Avenue North,2022,10631083,0,0,250000,22905549,74202865
1232,Western Avenue South,2014,5415039,0,0,0,0,5415039
1233,Western Avenue South,2015,5932730,0,0,0,0,11347769
1234,Western Avenue South,2016,7665490,0,0,0,0,19013259
1235,Western Avenue South,2017,7179132,0,0,0,0,26192391
1236,Western Avenue South,2018,9169536,250000,0,250000,0,35361927
1237,Western Avenue South,2019,9731851,0,0,250000,0,45093778
1238,Western Avenue South,2020,11144073,0,0,250000,0,56237851
1239,Western Avenue South,2021,12468247,0,0,250000,0,68706098
1240,Western Avenue South,2022,12625928,0,0,250000,0,81332026
1241,Western/Ogden,2014,5672237,0,0,0,0,5672237
1242,Western/Ogden,2015,6817143,0,0,0,0,12489380
1243,Western/Ogden,2016,10362400,0,0,0,0,22851780
1244,Western/Ogden,2017,6651437,0,2250000,0,2250000,29503217
1245,Western/Ogden,2018,10971584,0,5500000,0,7750000,40474801
1246,Western/Ogden,2019,9441832,0,10350000,0,18100000,49916633
1247,Western/Ogden,2020,11737673,0,0,0,18100000,61654306
1248,Western/Ogden,2021,14782600,0,0,0,18100000,76436906
1249,Western/Ogden,2022,13426975,0,0,0,18100000,89863881
1250,Western Avenue/Rock Island,2014,160698,0,0,0,0,160698
1251,Western Avenue/Rock Island,2015,357291,0,0,0,0,517989
1252,Western Avenue/Rock Island,2016,461589,1700000,0,1700000,0,979578
1253,Western Avenue/Rock Island,2017,663934,1500000,0,3200000,0,1643512
1254,Western Avenue/Rock Island,2018,1219200,1831115,0,5031115,0,2862712
1255,Western Avenue/Rock Island,2019,1203203,1000000,1200000,6031115,1200000,4065915
1256,Western Avenue/Rock Island,2020,1434037,0,0,6031115,1200000,5499952
1257,Western Avenue/Rock Island,2021,1354603,0,0,6031115,1200000,6854555
1258,Western Avenue/Rock Island,2022,1425077,0,0,6031115,1200000,8279632
1259,Wilson Yard,2014,6259683,0,0,0,0,6259683
1260,Wilson Yard,2015,5905360,0,0,0,0,12165043
1261,Wilson Yard,2016,7196194,0,0,0,0,19361237
1262,Wilson Yard,2017,7260291,0,0,0,0,26621528
1263,Wilson Yard,2018,9384917,0,0,0,0,36006445
1264,Wilson Yard,2019,8648801,0,0,0,0,44655246
1265,Wilson Yard,2020,10600779,20473465,7903434,20473465,7903434,55256025
1266,Wilson Yard,2021,11806561,0,0,20473465,7903434,67062586
1267,Wilson Yard,2022,12419621,2125852,0,22599317,7903434,79482207
1268,Woodlawn,2014,2617189,0,1535981,0,1535981,2617189
1269,Woodlawn,2015,2298703,0,1285417,0,2821398,4915892
1270,Woodlawn,2016,2987098,0,1426041,0,4247439,7902990
1271,Woodlawn,2017,3028018,0,1851069,0,6098508,10931008
1272,Woodlawn,2018,3544196,0,1850624,0,7949132,14475204
1273,Woodlawn,2019,3660943,0,5800000,0,13749132,18136147
1274,Woodlawn,2020,4203405,0,0,0,13749132,22339552
1275,Woodlawn,2021,4922348,0,0,0,13749132,27261900
1276,Woodlawn,2022,5052940,0,2000000,0,15749132,32314840
